"","x"
"ENSMUSG00000003235",21164
"ENSMUSG00000003269",10262
"ENSMUSG00000003271",247
"ENSMUSG00000003273",36
"ENSMUSG00000003279",54
"ENSMUSG00000003282",116
"ENSMUSG00000003283",12003
"ENSMUSG00000003299",11137
"ENSMUSG00000003308",7850
"ENSMUSG00000003309",78
"ENSMUSG00000003316",46923
"ENSMUSG00000003341",40
"ENSMUSG00000003344",6567
"ENSMUSG00000003345",22005
"ENSMUSG00000003346",15808
"ENSMUSG00000003348",6804
"ENSMUSG00000003352",17
"ENSMUSG00000003354",18
"ENSMUSG00000003355",1877
"ENSMUSG00000003360",10372
"ENSMUSG00000003363",6721
"ENSMUSG00000003378",1523
"ENSMUSG00000003379",809
"ENSMUSG00000003380",15039
"ENSMUSG00000003382",5096
"ENSMUSG00000003402",25990
"ENSMUSG00000003410",44
"ENSMUSG00000003411",0
"ENSMUSG00000003418",42
"ENSMUSG00000003420",905
"ENSMUSG00000003421",12261
"ENSMUSG00000003423",13635
"ENSMUSG00000003429",61357
"ENSMUSG00000003435",28095
"ENSMUSG00000003436",55
"ENSMUSG00000003437",11958
"ENSMUSG00000003438",26388
"ENSMUSG00000003444",1894
"ENSMUSG00000003452",6662
"ENSMUSG00000003458",27252
"ENSMUSG00000003464",12608
"ENSMUSG00000003469",1
"ENSMUSG00000003476",0
"ENSMUSG00000003477",0
"ENSMUSG00000003484",816
"ENSMUSG00000003500",47189
"ENSMUSG00000003505",0
"ENSMUSG00000003518",4031
"ENSMUSG00000003526",8530
"ENSMUSG00000003527",6807
"ENSMUSG00000003528",32676
"ENSMUSG00000003531",6535
"ENSMUSG00000003534",3
"ENSMUSG00000003541",1062
"ENSMUSG00000003545",158
"ENSMUSG00000003546",7898
"ENSMUSG00000003549",4216
"ENSMUSG00000003555",8
"ENSMUSG00000003559",5
"ENSMUSG00000003573",2242
"ENSMUSG00000003575",9480
"ENSMUSG00000003581",1572
"ENSMUSG00000003585",30
"ENSMUSG00000003604",5376
"ENSMUSG00000003617",69
"ENSMUSG00000003623",8887
"ENSMUSG00000003644",35253
"ENSMUSG00000003657",0
"ENSMUSG00000003660",50028
"ENSMUSG00000003662",9466
"ENSMUSG00000003665",13
"ENSMUSG00000003680",15806
"ENSMUSG00000003721",3386
"ENSMUSG00000003731",6997
"ENSMUSG00000003746",9994
"ENSMUSG00000003752",1181
"ENSMUSG00000003762",3114
"ENSMUSG00000003778",35062
"ENSMUSG00000003779",14325
"ENSMUSG00000003808",34846
"ENSMUSG00000003809",3964
"ENSMUSG00000003810",7803
"ENSMUSG00000003812",14189
"ENSMUSG00000003813",12316
"ENSMUSG00000003814",129747
"ENSMUSG00000003824",18592
"ENSMUSG00000003847",14869
"ENSMUSG00000003848",14199
"ENSMUSG00000003849",30
"ENSMUSG00000003863",74
"ENSMUSG00000003865",11046
"ENSMUSG00000003868",55071
"ENSMUSG00000003872",9
"ENSMUSG00000003873",9129
"ENSMUSG00000003882",4113
"ENSMUSG00000003923",11231
"ENSMUSG00000003929",4218
"ENSMUSG00000003934",59
"ENSMUSG00000003948",1943
"ENSMUSG00000003949",18351
"ENSMUSG00000003955",13161
"ENSMUSG00000003970",294692
"ENSMUSG00000003974",1
"ENSMUSG00000003992",27384
"ENSMUSG00000004018",4262
"ENSMUSG00000004031",0
"ENSMUSG00000004032",170
"ENSMUSG00000004035",88
"ENSMUSG00000004038",0
"ENSMUSG00000004040",18067
"ENSMUSG00000004043",7689
"ENSMUSG00000004044",19
"ENSMUSG00000004054",8423
